Datas,Niterói
2020/03/15,3
2020/03/16,3
2020/03/17,1
2020/03/18,5
2020/03/19,5
2020/03/20,8
2020/03/21,2
2020/03/22,4
2020/03/23,5
2020/03/24,5
2020/03/25,3
2020/03/26,3
2020/03/27,12
2020/03/28,3
2020/03/29,6
2020/03/30,21
2020/03/31,21
2020/04/01,12
2020/04/02,15
2020/04/03,21
2020/04/04,7
2020/04/05,7
2020/04/06,29
2020/04/07,14
2020/04/08,22
2020/04/09,24
2020/04/10,14
2020/04/11,10
2020/04/12,12
2020/04/13,49
2020/04/14,52
2020/04/15,68
2020/04/16,41
2020/04/17,26
2020/04/18,18
2020/04/19,12
2020/04/20,60
2020/04/21,31
2020/04/22,36
2020/04/23,24
2020/04/24,73
2020/04/25,22
2020/04/26,26
2020/04/27,77
2020/04/28,70
2020/04/29,101
2020/04/30,113
2020/05/01,25
2020/05/02,32
2020/05/03,15
2020/05/04,132
2020/05/05,118
2020/05/06,118
2020/05/07,119
2020/05/08,153
2020/05/09,27
2020/05/10,12
2020/05/11,95
2020/05/12,186
2020/05/13,228
2020/05/14,158
2020/05/15,152
2020/05/16,19
2020/05/17,37
2020/05/18,180
2020/05/19,219
2020/05/20,181
2020/05/21,164
2020/05/22,123
2020/05/23,27
2020/05/24,27
2020/05/25,235
2020/05/26,134
2020/05/27,199
2020/05/28,150
2020/05/29,109
2020/05/30,26
2020/05/31,19
2020/06/01,163
2020/06/02,146
2020/06/03,146
2020/06/04,140
2020/06/05,156
2020/06/06,18
2020/06/07,18
2020/06/08,167
2020/06/09,136
2020/06/10,137
2020/06/11,53
2020/06/12,104
2020/06/13,36
2020/06/14,30
2020/06/15,148
2020/06/16,160
2020/06/17,125
2020/06/18,124
2020/06/19,119
2020/06/20,28
2020/06/21,17
2020/06/22,105
2020/06/23,152
2020/06/24,110
2020/06/25,104
2020/06/26,152
2020/06/27,22
2020/06/28,5
2020/06/29,134
2020/06/30,125
2020/07/01,138
2020/07/02,92
2020/07/03,109
2020/07/04,27
2020/07/05,22
2020/07/06,117
2020/07/07,106
2020/07/08,70
2020/07/09,71
2020/07/10,90
2020/07/11,27
2020/07/12,17
2020/07/13,95
2020/07/14,70
2020/07/15,69
2020/07/16,71
2020/07/17,72
2020/07/18,15
2020/07/19,9
2020/07/20,89
2020/07/21,138
2020/07/22,112
2020/07/23,78
2020/07/24,100
2020/07/25,15
2020/07/26,8
2020/07/27,107
2020/07/28,87
2020/07/29,75
2020/07/30,126
2020/07/31,57
2020/08/01,19
2020/08/02,46
2020/08/03,117
2020/08/04,123
2020/08/05,82
2020/08/06,118
2020/08/07,79
2020/08/08,21
2020/08/09,8
2020/08/10,150
2020/08/11,96
2020/08/12,110
2020/08/13,75
2020/08/14,108
2020/08/15,10
2020/08/16,17
2020/08/17,101
2020/08/18,80
2020/08/19,77
2020/08/20,60
2020/08/21,99
2020/08/22,19
2020/08/23,7
2020/08/24,122
2020/08/25,112
2020/08/26,120
2020/08/27,138
2020/08/28,108
2020/08/29,16
2020/08/30,13
2020/08/31,94
2020/09/01,107
2020/09/02,116
2020/09/03,124
2020/09/04,132
2020/09/05,20
2020/09/06,16
2020/09/07,7
2020/09/08,142
2020/09/09,171
2020/09/10,145
2020/09/11,85
2020/09/12,17
2020/09/13,9
2020/09/14,150
2020/09/15,147
2020/09/16,166
2020/09/17,92
2020/09/18,87
2020/09/19,13
2020/09/20,8
2020/09/21,105
2020/09/22,123
2020/09/23,146
2020/09/24,77
2020/09/25,80
2020/09/26,14
2020/09/27,20
2020/09/28,149
2020/09/29,134
2020/09/30,123
2020/10/01,115
2020/10/02,110
2020/10/03,14
2020/10/04,14
2020/10/05,121
2020/10/06,171
2020/10/07,124
2020/10/08,103
2020/10/09,116
2020/10/10,13
2020/10/11,18
2020/10/12,16
2020/10/13,166
2020/10/14,104
2020/10/15,148
2020/10/16,123
2020/10/17,12
2020/10/18,10
2020/10/19,140
2020/10/20,154
2020/10/21,150
2020/10/22,147
2020/10/23,141
2020/10/24,14
2020/10/25,15
2020/10/26,168
2020/10/27,191
2020/10/28,170
2020/10/29,185
2020/10/30,32
2020/10/31,20
2020/11/01,17
2020/11/02,24
2020/11/03,172
2020/11/04,151
2020/11/05,216
2020/11/06,184
2020/11/07,22
2020/11/08,27
2020/11/09,193
2020/11/10,216
2020/11/11,215
2020/11/12,164
2020/11/13,176
2020/11/14,46
2020/11/15,13
2020/11/16,239
2020/11/17,215
2020/11/18,182
2020/11/19,250
2020/11/20,47
2020/11/21,45
2020/11/22,28
2020/11/23,292
2020/11/24,341
2020/11/25,182
2020/11/26,335
2020/11/27,254
2020/11/28,45
2020/11/29,26
2020/11/30,350
2020/12/01,269
2020/12/02,260
2020/12/03,303
2020/12/04,362
2020/12/05,48
2020/12/06,28
2020/12/07,269
2020/12/08,333
2020/12/09,442
2020/12/10,418
2020/12/11,331
2020/12/12,21
2020/12/13,25
2020/12/14,257
2020/12/15,363
2020/12/16,365
2020/12/17,364
2020/12/18,258
2020/12/19,37
2020/12/20,24
2020/12/21,307
2020/12/22,240
2020/12/23,299
2020/12/24,16
2020/12/25,22
2020/12/26,41
2020/12/27,24
2020/12/28,407
2020/12/29,334
2020/12/30,325
2020/12/31,55
2021/01/01,34
2021/01/02,61
2021/01/03,50
2021/01/04,311
2021/01/05,334
2021/01/06,321
2021/01/07,229
2021/01/08,221
2021/01/09,36
2021/01/10,36
2021/01/11,249
2021/01/12,250
2021/01/13,268
2021/01/14,236
2021/01/15,216
2021/01/16,23
2021/01/17,9
2021/01/18,251
2021/01/19,248
2021/01/20,155
2021/01/21,143
